user_id,proficiency,language
134,native_or_bilingual,Turkish
135,native_or_bilingual,Turkish
135,professional_working,English
136,native_or_bilingual,Turkish
136,professional_working,English
136,elementary,Korean
140,,Turkish
140,,German
140,,English
141,full_professional,English
141,limited_working,German
149,,English
149,,German
154,,Turkish
154,,English
156,,English
156,,German
157,professional_working,English
157,native_or_bilingual,Turkish
159,native_or_bilingual,Turkish
159,professional_working,English
159,elementary,Korean
163,limited_working,English
164,native_or_bilingual,Turkish
164,limited_working,English
166,professional_working,English
166,elementary,Spanish
167,professional_working,English
169,professional_working,English
169,native_or_bilingual,Turkish
171,,English
171,,Turkish
172,,English
172,,German
175,professional_working,English
175,limited_working,German
180,limited_working,English
188,,English
188,,Turkish
189,limited_working,Other
189,native_or_bilingual,Turkish
194,professional_working,English
194,native_or_bilingual,Turkish
195,limited_working,English
195,native_or_bilingual,Turkish
197,limited_working,English
198,full_professional,English
198,native_or_bilingual,Arabic
198,full_professional,Turkish
201,native_or_bilingual,Turkish
201,limited_working,English
202,limited_working,English
203,,Turkish
203,,English
203,,German
206,professional_working,English
206,native_or_bilingual,Turkish
210,elementary,Russian
210,professional_working,English
216,native_or_bilingual,Turkish
216,limited_working,English
218,limited_working,English
218,native_or_bilingual,Turkish
220,full_professional,English
222,native_or_bilingual,Turkish
222,professional_working,English
223,native_or_bilingual,Turkish
223,full_professional,English
223,elementary,Spanish
224,native_or_bilingual,Turkish
224,professional_working,English
226,,Turkish
226,,English
227,elementary,English
228,native_or_bilingual,Turkish
228,limited_working,English
228,elementary,German
233,,Turkish
233,limited_working,English
235,professional_working,English
236,full_professional,English
237,professional_working,English
238,native_or_bilingual,Turkish
238,elementary,English
238,native_or_bilingual,Other
243,professional_working,English
243,elementary,Other
243,native_or_bilingual,Turkish
243,elementary,Lehçe
244,full_professional,English
248,native_or_bilingual,Turkish
248,elementary,English
249,,English
251,native_or_bilingual,Turkish
251,limited_working,English
255,limited_working,English
255,native_or_bilingual,Turkish
256,native_or_bilingual,Turkish
256,full_professional,English
260,full_professional,English
268,native_or_bilingual,Turkish
268,professional_working,English
268,elementary,German
276,native_or_bilingual,Turkish
276,professional_working,English
277,limited_working,English
277,native_or_bilingual,Other
278,full_professional,English
278,native_or_bilingual,Turkish
281,native_or_bilingual,Turkish
281,professional_working,English
282,elementary,Other
282,native_or_bilingual,Turkish
282,professional_working,English
286,native_or_bilingual,Turkish
286,professional_working,English
290,professional_working,English
292,limited_working,English
304,,English
305,native_or_bilingual,Arabic
305,limited_working,English
305,professional_working,Turkish
307,limited_working,English
310,limited_working,English
311,native_or_bilingual,Turkish
311,limited_working,English
314,full_professional,Turkish
314,professional_working,English
314,full_professional,Other
320,limited_working,English
320,native_or_bilingual,Turkish
321,limited_working,English
322,professional_working,English
322,native_or_bilingual,Turkish
327,limited_working,English
327,elementary,Korean
334,,Turkish
334,,English
337,,English
338,limited_working,English
338,elementary,German
341,native_or_bilingual,Turkish
341,professional_working,English
345,native_or_bilingual,Turkish
345,professional_working,English
346,limited_working,English
347,native_or_bilingual,Turkish
347,limited_working,English
347,elementary,Japanese
351,,Turkish
351,,English
353,limited_working,English
353,native_or_bilingual,Turkish
356,native_or_bilingual,Turkish
356,professional_working,English
358,professional_working,English
358,elementary,German
361,elementary,English
364,,English
364,,Turkish
372,limited_working,English
372,native_or_bilingual,Turkish
373,,Turkish
373,,English
377,professional_working,English
378,native_or_bilingual,Turkish
378,professional_working,English
381,native_or_bilingual,Turkish
381,limited_working,English
383,elementary,English
388,professional_working,English
388,native_or_bilingual,Turkish
390,native_or_bilingual,Turkish
390,professional_working,English
395,professional_working,English
398,limited_working,English
398,elementary,Spanish
398,native_or_bilingual,Turkish
404,native_or_bilingual,Turkish
404,limited_working,English
406,professional_working,English
406,native_or_bilingual,Turkish
409,elementary,English
409,native_or_bilingual,Turkish
410,professional_working,English
410,limited_working,German
416,,Turkish
416,,English
418,,English
418,,German
419,full_professional,English
419,native_or_bilingual,Turkish
420,limited_working,English
421,professional_working,English
426,limited_working,Other
426,native_or_bilingual,Turkish
429,limited_working,English
431,native_or_bilingual,Turkish
431,elementary,English
431,native_or_bilingual,Other
432,,English
432,,German
433,elementary,English
433,native_or_bilingual,Turkish
435,,English
436,,Turkish
436,,English
436,,Japanese
437,professional_working,English
440,professional_working,English
441,,Turkish
441,,English
442,native_or_bilingual,Turkish
442,professional_working,English
443,,Arabic
443,,English
448,professional_working,English
449,native_or_bilingual,Turkish
449,professional_working,English
450,limited_working,English
451,limited_working,English
451,native_or_bilingual,Turkish
454,native_or_bilingual,Turkish
454,limited_working,English
460,native_or_bilingual,Turkish
460,professional_working,English
460,elementary,Korean
461,professional_working,Russian
461,professional_working,English
461,native_or_bilingual,Turkish
461,limited_working,German
462,professional_working,English
462,limited_working,German
463,,English
463,,German
465,professional_working,English
466,elementary,English
466,native_or_bilingual,Turkish
468,elementary,English
468,native_or_bilingual,Turkish
470,limited_working,Other
470,native_or_bilingual,Turkish
471,,Turkish
471,,English
473,native_or_bilingual,Turkish
473,limited_working,English
475,native_or_bilingual,Turkish
475,professional_working,English
476,professional_working,Russian
476,professional_working,English
476,native_or_bilingual,Turkish
476,limited_working,German
477,native_or_bilingual,Turkish
477,professional_working,English
477,elementary,Korean
478,,English
478,,German
479,native_or_bilingual,Turkish
479,native_or_bilingual,Azerbaijani
479,elementary,English
481,native_or_bilingual,Turkish
481,limited_working,English
483,native_or_bilingual,Turkish
483,limited_working,English
484,,English
484,,German
486,professional_working,English
487,professional_working,Russian
487,professional_working,English
487,native_or_bilingual,Turkish
487,limited_working,German
490,,English
491,limited_working,English
492,professional_working,English
492,limited_working,German
493,native_or_bilingual,Arabic
493,limited_working,English
493,full_professional,Turkish
499,native_or_bilingual,Turkish
499,professional_working,English
502,native_or_bilingual,Turkish
502,professional_working,English
503,,English
504,native_or_bilingual,Turkish
504,limited_working,English
506,full_professional,English
506,full_professional,Turkish
506,full_professional,German
508,professional_working,English
508,elementary,German
509,professional_working,English
510,,Turkish
510,,English
511,limited_working,English
512,native_or_bilingual,Turkish
512,limited_working,English
517,native_or_bilingual,Turkish
517,professional_working,English
518,native_or_bilingual,Turkish
518,limited_working,Arabic
518,professional_working,English
519,limited_working,English
520,professional_working,English
520,elementary,German
520,native_or_bilingual,Turkish
521,professional_working,English
522,native_or_bilingual,Turkish
522,limited_working,English
525,limited_working,English
526,limited_working,English
530,native_or_bilingual,Turkish
530,professional_working,English
531,professional_working,English
531,native_or_bilingual,Turkish
533,professional_working,English
533,native_or_bilingual,Turkish
534,professional_working,English
534,native_or_bilingual,Turkish
540,professional_working,English
541,,Turkish
541,,English
542,professional_working,English
545,native_or_bilingual,Turkish
545,limited_working,English
548,limited_working,English
552,,English
553,professional_working,English
554,native_or_bilingual,Turkish
554,professional_working,English
554,limited_working,German
555,,Turkish
555,,English
556,professional_working,English
556,elementary,Russian
557,native_or_bilingual,Turkish
557,professional_working,English
558,native_or_bilingual,Turkish
558,limited_working,English
562,limited_working,English
564,,English
566,professional_working,English
566,native_or_bilingual,Turkish
567,professional_working,English
569,,English
571,professional_working,English
575,,Turkish
575,,English
576,limited_working,English
576,native_or_bilingual,Turkish
587,professional_working,English
587,native_or_bilingual,Other
587,native_or_bilingual,Turkish
587,,German
590,native_or_bilingual,Turkish
590,limited_working,English
594,limited_working,English
594,native_or_bilingual,Turkish
597,limited_working,English
599,native_or_bilingual,Turkish
599,limited_working,English
600,native_or_bilingual,Turkish
600,limited_working,English
601,professional_working,English
602,professional_working,English
602,native_or_bilingual,Turkish
604,native_or_bilingual,Turkish
604,professional_working,English
606,full_professional,English
607,professional_working,English
610,limited_working,English
610,native_or_bilingual,Turkish
611,professional_working,English
611,native_or_bilingual,Turkish
613,limited_working,English
616,native_or_bilingual,Turkish
616,limited_working,English
624,native_or_bilingual,Turkish
624,limited_working,English
627,native_or_bilingual,Turkish
627,limited_working,English
632,,Turkish
636,native_or_bilingual,Arabic
636,limited_working,English
636,full_professional,Turkish
637,professional_working,English
637,native_or_bilingual,Turkish
641,professional_working,English
644,full_professional,English
648,native_or_bilingual,Turkish
648,limited_working,English
650,full_professional,English
652,professional_working,English
652,limited_working,German
654,professional_working,English
656,limited_working,English
657,,English
657,,German
660,professional_working,English
660,native_or_bilingual,Turkish
663,native_or_bilingual,Turkish
663,limited_working,English
664,limited_working,English
664,native_or_bilingual,Turkish
664,elementary,German
665,professional_working,English
667,native_or_bilingual,Turkish
667,professional_working,English
668,professional_working,English
669,,Turkish
669,,English
671,native_or_bilingual,Turkish
671,limited_working,English
673,professional_working,English
673,native_or_bilingual,Turkish
676,professional_working,English
676,professional_working,Turkish
677,,English
679,native_or_bilingual,Turkish
679,professional_working,English
680,professional_working,English
680,limited_working,German
683,,English
683,,German
687,,Turkish
687,elementary,English
690,native_or_bilingual,Turkish
690,full_professional,English
692,,English
692,,German
696,,English
696,,German
697,professional_working,English
697,native_or_bilingual,Turkish
699,elementary,English
699,native_or_bilingual,Turkish
700,professional_working,English
700,,Turkish
702,,Turkish
702,,English
704,professional_working,English
704,elementary,Other
704,elementary,Italian
704,native_or_bilingual,Turkish
706,,English
708,limited_working,English
709,limited_working,English
709,native_or_bilingual,Turkish
711,full_professional,English
715,native_or_bilingual,Turkish
715,elementary,English
716,,Turkish
716,,English
721,native_or_bilingual,Turkish
721,limited_working,English
724,native_or_bilingual,Arabic
724,professional_working,English
724,professional_working,Turkish
728,native_or_bilingual,Other
728,native_or_bilingual,Turkish
728,limited_working,English
729,limited_working,English
729,native_or_bilingual,Turkish
731,professional_working,English
733,native_or_bilingual,Arabic
733,limited_working,English
733,limited_working,Turkish
734,elementary,Other
734,limited_working,Russian
734,full_professional,English
734,native_or_bilingual,Turkish
735,,Turkish
735,,English
736,professional_working,English
736,full_professional,Turkish
736,elementary,Arabic
739,professional_working,English
739,limited_working,German
739,native_or_bilingual,Turkish
741,native_or_bilingual,Turkish
741,professional_working,English
743,limited_working,English
743,full_professional,Turkish
744,native_or_bilingual,English
748,professional_working,English
749,professional_working,English
754,professional_working,English
757,limited_working,English
757,native_or_bilingual,Turkish
758,limited_working,English
758,native_or_bilingual,Turkish
763,elementary,English
767,limited_working,English
768,native_or_bilingual,Turkish
768,professional_working,English
769,limited_working,English
773,professional_working,English
774,professional_working,English
775,native_or_bilingual,Turkish
775,professional_working,English
775,native_or_bilingual,Other
779,,Turkish
779,,English
783,elementary,English
783,native_or_bilingual,Turkish
784,,Kürtçe
785,full_professional,English
785,elementary,Spanish
785,native_or_bilingual,Turkish
786,,English
791,,English
791,,German
793,professional_working,English
793,,Turkish
798,,Turkish
800,professional_working,English
801,professional_working,English
801,native_or_bilingual,Turkish
802,native_or_bilingual,Turkish
802,professional_working,English
803,elementary,Korean
803,professional_working,English
803,native_or_bilingual,Turkish
805,professional_working,English
806,professional_working,English
807,native_or_bilingual,Turkish
807,professional_working,English
808,professional_working,English
809,limited_working,English
809,native_or_bilingual,Turkish
811,professional_working,English
812,,English
813,full_professional,English
813,native_or_bilingual,Turkish
814,limited_working,English
815,,English
817,elementary,English
817,native_or_bilingual,Turkish
818,full_professional,English
818,elementary,Spanish
818,native_or_bilingual,Turkish
820,limited_working,English
821,,English
821,,German
822,native_or_bilingual,Turkish
822,limited_working,English
825,elementary,English
825,native_or_bilingual,Turkish
828,full_professional,English
828,elementary,Spanish
828,native_or_bilingual,Turkish
830,,English
830,,German
832,native_or_bilingual,Turkish
832,native_or_bilingual,Azerbaijani
832,elementary,English
833,,English
833,,German
834,limited_working,English
837,professional_working,English
837,limited_working,German
838,native_or_bilingual,Turkish
838,full_professional,English
838,limited_working,German
840,native_or_bilingual,Turkish
840,professional_working,English
847,professional_working,English
847,elementary,Lehçe
848,limited_working,English
849,native_or_bilingual,Turkish
849,professional_working,English
851,elementary,German
853,,Turkish
853,,English
858,native_or_bilingual,Turkish
858,elementary,Russian
858,professional_working,English
860,native_or_bilingual,Turkish
860,professional_working,English
862,,English
864,native_or_bilingual,English
865,professional_working,English
865,elementary,Spanish
866,,Turkish
866,,English
867,professional_working,English
868,limited_working,English
873,native_or_bilingual,Turkish
873,limited_working,English
878,native_or_bilingual,Turkish
878,professional_working,English
882,,English
886,professional_working,English
891,professional_working,English
891,limited_working,German
893,limited_working,English
898,native_or_bilingual,Turkish
898,limited_working,English
900,,Turkish
900,,English
901,professional_working,English
902,professional_working,English
902,native_or_bilingual,Turkish
903,native_or_bilingual,Turkish
903,native_or_bilingual,Other
903,professional_working,English
904,full_professional,English
906,native_or_bilingual,Turkish
906,professional_working,English
908,limited_working,English
908,elementary,German
909,native_or_bilingual,Turkish
909,limited_working,English
912,native_or_bilingual,Turkish
912,professional_working,English
913,professional_working,English
913,limited_working,German
915,native_or_bilingual,Turkish
915,full_professional,English
916,native_or_bilingual,Turkish
916,limited_working,English
918,native_or_bilingual,Turkish
918,limited_working,English
921,professional_working,English
921,limited_working,German
923,full_professional,English
925,limited_working,English
926,,English
929,full_professional,English
929,native_or_bilingual,Kürtçe
929,elementary,German
931,limited_working,English
932,native_or_bilingual,English
932,native_or_bilingual,Turkish
933,native_or_bilingual,Turkish
933,native_or_bilingual,Arabic
933,professional_working,English
934,limited_working,English
935,limited_working,English
936,,Turkish
936,,English
939,native_or_bilingual,Turkish
939,professional_working,English
941,native_or_bilingual,Turkish
941,professional_working,English
942,professional_working,English
943,limited_working,English
944,,English
945,native_or_bilingual,Turkish
945,professional_working,English
946,professional_working,English
947,professional_working,English
947,full_professional,English
949,full_professional,English
950,limited_working,English
952,limited_working,English
954,limited_working,English
954,native_or_bilingual,Turkish
957,full_professional,English
957,native_or_bilingual,Turkish
958,professional_working,English
965,native_or_bilingual,Turkish
965,limited_working,English
967,full_professional,English
967,native_or_bilingual,Turkish
968,limited_working,English
968,native_or_bilingual,Turkish
970,limited_working,English
973,,Other
973,native_or_bilingual,Turkish
974,native_or_bilingual,Turkish
974,,English
975,,Turkish
975,,English
979,native_or_bilingual,Turkish
979,limited_working,English
981,,Turkish
981,,English
984,native_or_bilingual,Turkish
984,limited_working,English
985,full_professional,English
988,limited_working,English
989,,English
990,native_or_bilingual,Turkish
990,limited_working,English
991,professional_working,English
992,limited_working,English
993,native_or_bilingual,Turkish
993,limited_working,English
995,,English
996,professional_working,English
999,professional_working,English
999,elementary,German
999,native_or_bilingual,Turkish
1000,professional_working,English
1000,native_or_bilingual,Turkish
1002,,Turkish
1002,,English
1008,native_or_bilingual,Turkish
1008,limited_working,English
1009,limited_working,English
1012,native_or_bilingual,Turkish
1012,limited_working,English
1013,limited_working,English
1014,native_or_bilingual,Turkish
1014,professional_working,English
1015,native_or_bilingual,Turkish
1015,full_professional,English
1015,elementary,German
1017,limited_working,English
1019,native_or_bilingual,Turkish
1019,professional_working,English
1020,native_or_bilingual,Turkish
1020,limited_working,English
1021,limited_working,English
1022,professional_working,English
1024,professional_working,English
1025,native_or_bilingual,Turkish
1025,limited_working,English
1026,native_or_bilingual,Turkish
1026,limited_working,English
1029,limited_working,English
1037,limited_working,English
1038,full_professional,English
1038,native_or_bilingual,Turkish
1039,,Turkish
1039,,English
1040,professional_working,English
1040,native_or_bilingual,Turkish
1042,limited_working,English
1042,native_or_bilingual,Turkish
1042,elementary,German
1047,professional_working,English
1047,native_or_bilingual,Turkish
1050,limited_working,English
1052,native_or_bilingual,Turkish
1052,full_professional,English
1056,,Turkish
1056,,English
1057,limited_working,English
1058,,Turkish
1058,professional_working,English
1065,,Turkish
1065,,English
1066,limited_working,English
1068,professional_working,English
1068,native_or_bilingual,Turkish
1070,native_or_bilingual,Turkish
1070,limited_working,English
1071,limited_working,English
1072,professional_working,English
1072,native_or_bilingual,Turkish
1073,native_or_bilingual,English
1073,native_or_bilingual,Turkish
1074,elementary,English
1076,professional_working,English
1079,,Turkish
1079,,English
1080,native_or_bilingual,Turkish
1080,limited_working,English
1081,,English
1083,native_or_bilingual,Turkish
1083,full_professional,English
1085,native_or_bilingual,Turkish
1085,,English
1087,professional_working,English
1087,native_or_bilingual,Turkish
1090,native_or_bilingual,Turkish
1090,limited_working,English
1092,limited_working,English
1095,,English
1100,,English
1103,limited_working,English
1104,professional_working,English
1105,professional_working,English
1106,professional_working,English
1106,native_or_bilingual,Turkish
1111,limited_working,English
1112,professional_working,English
1112,limited_working,German
1114,,English
1120,native_or_bilingual,Turkish
1120,professional_working,English
1125,limited_working,English
1125,native_or_bilingual,Turkish
1127,full_professional,English
1127,,Spanish
1128,professional_working,English
1129,native_or_bilingual,Turkish
1129,professional_working,English
1130,native_or_bilingual,Turkish
1130,full_professional,English
1131,limited_working,English
1133,professional_working,English
1133,native_or_bilingual,Turkish
1135,professional_working,English
1135,native_or_bilingual,Turkish
1136,native_or_bilingual,Turkish
1136,professional_working,English
1137,professional_working,English
1138,,Turkish
1138,,English
1140,full_professional,English
1142,native_or_bilingual,Turkish
1142,limited_working,English
1143,limited_working,English
1144,professional_working,English
1146,,Turkish
1146,,English
1150,,English
1152,professional_working,English
1152,native_or_bilingual,Turkish
1156,,Turkish
1156,professional_working,English
1157,native_or_bilingual,Turkish
1157,limited_working,English
1158,full_professional,Turkish
1158,professional_working,English
1159,native_or_bilingual,Turkish
1159,limited_working,English
1160,,English
1161,,English
1162,native_or_bilingual,Turkish
1162,limited_working,English
1165,native_or_bilingual,Turkish
1165,native_or_bilingual,Other
1165,professional_working,English
1167,,English
1168,,English
1170,native_or_bilingual,English
1170,native_or_bilingual,Turkish
1173,,Turkish
1173,,English
1174,,Turkish
1174,,English
1178,limited_working,English
1179,professional_working,English
1179,limited_working,German
1180,native_or_bilingual,Turkish
1180,limited_working,English
1186,native_or_bilingual,Turkish
1186,professional_working,English
1187,native_or_bilingual,Turkish
1187,native_or_bilingual,Other
1187,professional_working,English
1188,native_or_bilingual,Turkish
1188,native_or_bilingual,Other
1188,professional_working,English
1190,full_professional,English
1192,native_or_bilingual,Turkish
1192,limited_working,English
1194,native_or_bilingual,Turkish
1194,professional_working,English
1195,professional_working,English
1196,limited_working,English
1197,,English
1201,limited_working,English
1201,native_or_bilingual,Turkish
1201,elementary,German
1202,native_or_bilingual,Turkish
1202,elementary,Japanese
1202,elementary,German
1202,professional_working,English
1203,limited_working,English
1203,native_or_bilingual,Turkish
1204,full_professional,English
1205,professional_working,English
1207,limited_working,English
1208,,Turkish
1208,,English
1210,professional_working,English
1210,native_or_bilingual,Turkish
1211,professional_working,English
1212,professional_working,English
1214,professional_working,English
1215,professional_working,English
1216,native_or_bilingual,English
1216,native_or_bilingual,Turkish
1219,,Turkish
1219,,English
1221,native_or_bilingual,English
1221,native_or_bilingual,Turkish
1224,native_or_bilingual,Turkish
1224,professional_working,English
1226,full_professional,English
1228,professional_working,English
1228,native_or_bilingual,Turkish
1229,professional_working,English
1230,,English
1231,native_or_bilingual,Turkish
1231,,English
1232,limited_working,English
1233,limited_working,English
1234,,English
1237,professional_working,English
1238,,English
1240,professional_working,English
1243,professional_working,English
1243,,Turkish
1247,native_or_bilingual,Turkish
1247,professional_working,English
1248,native_or_bilingual,Turkish
1248,professional_working,English
1250,professional_working,English
1250,elementary,Spanish
1250,native_or_bilingual,Turkish
1252,native_or_bilingual,Turkish
1252,professional_working,English
1255,professional_working,English
1256,professional_working,English
1258,professional_working,English
1258,native_or_bilingual,Turkish
1259,limited_working,English
1259,elementary,Arabic
1260,professional_working,English
1261,professional_working,English
1261,elementary,Other
1261,elementary,Spanish
1261,native_or_bilingual,Turkish
1263,full_professional,English
1263,native_or_bilingual,Turkish
1266,,Turkish
1266,,English
1267,professional_working,English
1268,native_or_bilingual,Turkish
1268,full_professional,English
1269,native_or_bilingual,Turkish
1269,professional_working,English
1270,professional_working,English
1271,limited_working,English
1272,,Turkish
1272,,English
1275,,Turkish
1275,,English
1276,native_or_bilingual,Turkish
1276,full_professional,English
1278,native_or_bilingual,Turkish
1278,professional_working,English
1280,native_or_bilingual,Turkish
1280,professional_working,English
1283,professional_working,English
1287,full_professional,English
1287,native_or_bilingual,Turkish
1287,professional_working,English
1288,native_or_bilingual,Turkish
1288,limited_working,English
1290,native_or_bilingual,Turkish
1290,limited_working,English
1291,professional_working,English
1291,elementary,German
1291,native_or_bilingual,Turkish
1294,,English
1296,native_or_bilingual,Turkish
1296,limited_working,English
1298,elementary,Arabic
1298,limited_working,English
1298,elementary,Other
1298,native_or_bilingual,Turkish
1300,professional_working,English
1301,native_or_bilingual,Turkish
1301,professional_working,English
1302,limited_working,English
1302,elementary,German
1304,native_or_bilingual,Turkish
1304,professional_working,English
1307,professional_working,English
1307,limited_working,German
1310,native_or_bilingual,Turkish
1310,limited_working,English
1311,native_or_bilingual,Turkish
1311,professional_working,English
1313,native_or_bilingual,Turkish
1313,professional_working,English
1315,native_or_bilingual,Turkish
1315,limited_working,English
1315,elementary,Arabic
1316,,English
1317,native_or_bilingual,Turkish
1317,limited_working,English
1318,native_or_bilingual,Turkish
1318,limited_working,English
1319,professional_working,English
1320,professional_working,English
1326,,English
1330,professional_working,English
1331,,Turkish
1331,professional_working,English
1334,limited_working,English
1340,limited_working,English
1341,limited_working,English
1343,native_or_bilingual,Turkish
1343,limited_working,English
1343,native_or_bilingual,Arabic
1349,professional_working,English
1351,,Turkish
1351,,English
1356,professional_working,English
1356,,Turkish
1357,,English
1357,,German
1359,native_or_bilingual,Turkish
1359,limited_working,English
1362,professional_working,English
1362,native_or_bilingual,Turkish
1365,,English
1367,professional_working,English
1367,native_or_bilingual,Turkish
1368,professional_working,English
1368,elementary,German
1369,professional_working,English
1370,native_or_bilingual,Turkish
1370,professional_working,English
1371,full_professional,English
1372,,Turkish
1372,,English
1373,limited_working,English
1373,native_or_bilingual,Turkish
1374,professional_working,English
1377,native_or_bilingual,Turkish
1377,professional_working,English
1380,native_or_bilingual,Turkish
1380,limited_working,English
1381,native_or_bilingual,Turkish
1381,professional_working,English
1383,native_or_bilingual,Turkish
1383,limited_working,English
1385,native_or_bilingual,Turkish
1385,limited_working,English
1386,professional_working,English
1387,full_professional,English
1387,native_or_bilingual,Turkish
1389,professional_working,English
1393,native_or_bilingual,Turkish
1393,limited_working,English
1394,native_or_bilingual,Turkish
1394,limited_working,English
1396,,English
1396,,German
1397,native_or_bilingual,Turkish
1397,limited_working,English
1404,professional_working,English
1408,,English
1408,,German
1411,,English
1411,,German
1412,native_or_bilingual,Turkish
1412,limited_working,English
1413,native_or_bilingual,Turkish
1413,limited_working,English
1414,native_or_bilingual,Turkish
1414,limited_working,English
1415,,English
1416,native_or_bilingual,French
1416,native_or_bilingual,English
1416,full_professional,Turkish
1416,limited_working,Spanish
1416,elementary,Chinese
1418,native_or_bilingual,Turkish
1418,professional_working,English
1419,full_professional,English
1420,full_professional,English
1421,native_or_bilingual,Turkish
1421,professional_working,English
1422,full_professional,English
1423,native_or_bilingual,Turkish
1423,professional_working,English
1424,native_or_bilingual,Turkish
1424,professional_working,English
1425,full_professional,English
1426,,English
1428,native_or_bilingual,Turkish
1428,limited_working,English
1429,full_professional,English
1429,native_or_bilingual,Turkish
1430,native_or_bilingual,Turkish
1430,full_professional,English
1430,elementary,German
1431,professional_working,English
1431,native_or_bilingual,Turkish
1432,native_or_bilingual,Turkish
1432,professional_working,English
1436,professional_working,English
1436,native_or_bilingual,Turkish
1437,native_or_bilingual,Turkish
1437,professional_working,English
1439,professional_working,English
1439,native_or_bilingual,Turkish
1444,full_professional,English
1444,native_or_bilingual,Turkish
1445,elementary,English
1449,professional_working,English
1449,native_or_bilingual,Other
1449,native_or_bilingual,Turkish
1450,professional_working,English
1450,full_professional,Turkish
1450,elementary,Chinese
1452,professional_working,English
1452,professional_working,Arabic
1453,native_or_bilingual,Turkish
1453,limited_working,English
1454,limited_working,English
1454,native_or_bilingual,Turkish
1456,native_or_bilingual,Turkish
1456,professional_working,English
1457,,Turkish
1457,,English
1458,native_or_bilingual,Turkish
1458,professional_working,English
1459,full_professional,English
1459,native_or_bilingual,Turkish
1459,elementary,Japanese
1460,professional_working,English
1462,native_or_bilingual,Turkish
1462,professional_working,English
1465,limited_working,English
1468,professional_working,English
1468,native_or_bilingual,Turkish
1471,,Turkish
1471,,English
1475,native_or_bilingual,Turkish
1475,professional_working,English
1475,elementary,German
1476,professional_working,English
1477,limited_working,English
1482,native_or_bilingual,Turkish
1482,professional_working,English
1482,limited_working,German
1483,native_or_bilingual,Turkish
1483,full_professional,English
1484,limited_working,English
1485,professional_working,English
1486,limited_working,English
1487,full_professional,English
1487,native_or_bilingual,Turkish
1488,,English
1489,professional_working,English
1491,native_or_bilingual,Turkish
1491,professional_working,English
1493,limited_working,English
1493,elementary,Other
1494,professional_working,English
1494,native_or_bilingual,Turkish
1496,,English
1497,full_professional,English
1499,professional_working,English
1499,native_or_bilingual,Turkish
1500,limited_working,English
1502,native_or_bilingual,Turkish
1502,limited_working,English
1503,native_or_bilingual,Turkish
1503,limited_working,English
1504,native_or_bilingual,Turkish
1504,professional_working,English
1505,native_or_bilingual,Turkish
1505,professional_working,English
1506,native_or_bilingual,Turkish
1506,professional_working,English
1506,elementary,Bulgarian
1506,elementary,Russian
1507,professional_working,English
1507,native_or_bilingual,Turkish
1508,,English
1509,,English
1510,professional_working,English
1510,native_or_bilingual,Turkish
1512,,English
1514,professional_working,English
1515,native_or_bilingual,Turkish
1515,limited_working,English
1516,native_or_bilingual,Turkish
1516,professional_working,English
1518,full_professional,English
1519,native_or_bilingual,Turkish
1519,limited_working,English
1521,limited_working,English
1522,native_or_bilingual,Turkish
1522,limited_working,English
1523,native_or_bilingual,Turkish
1523,full_professional,English
1524,,French
1524,,English
1524,,German
1525,native_or_bilingual,Turkish
1525,full_professional,English
1525,elementary,German
1526,native_or_bilingual,Turkish
1526,full_professional,English
1527,professional_working,English
1527,native_or_bilingual,Turkish
