,degree
Bachelor's,60
Engineering Faculty,59
Bachelors,58
License,57
Computer Engineering,56
-,56
Engineer's Degree,56
MSc.,54
Master Degree,54
LİSANS,54
Master of Computer Applications (MCA),53
B.Sc,53
Engineer’s Degree,52
BSc.,52
Fen Bilimleri,51
5,50
Full Stack Web Development Certification,50
Meslek Yüksek Okulu,50
mühendislik fakültesi,49
3.00,49
ÖnLisans,49
Msc,48
80,47
Bachelor of Education (B.Ed.),47
Licence,47
Bachelor of Education - BEd,46
İktisat Fakültesi Mezunu,46
High school,45
Highschool,45
Bilgisayar Mühendisi,45
Nanodegree,44
Bachelor of Arts (B.A.),43
Phd,43
Master of Arts (M.A.),43
Ortaöğretim,43
Ortaokul,43
Diploma,42
Bilgisayar,42
Mühendislik Mimarlık Fakültesi,41
3.5,40
Science,40
Terk,37
Executive MBA,37
Master of Computer Applications - MCA,37
İlkokul,37
Bachelor's degree ,37
Master of Computer Applications (M.C.A.),36
70,35
Winter School,35
Erasmus+,35
4. Sınıf,35
Master of Arts (MA),35
Fen Bilimleri Enstitüsü,35
Primary education,35
M.Sc,35
Fen Fakültesi Mezunu,34
3.50,34
English Preparation,34
Bsc,34
Masters,34
M.S,34
Bs,33
90,32
English,32
"3,5",32
3.01,32
2.5,32
Minor Degree,32
Computer Science,32
"3,7",31
MA,31
Hazırlık,31
--,31
5.00,31
3.14,31
Post Graduate,31
Doktora,30
Double Major,30
High School ,30
4.00,29
iyi,29
Önlisans Derecesi,29
"Ortaöğretim, Fen Bilimleri, 80,79",29
Technician,29
Business Administration,28
İşletme,28
3.30,28
Üstün Başarı,28
72,28
High School Graduate,27
Associate degree,27
Honorary Phd.,27
"73,25",27
Vocational School,27
85,27
11,27
75,26
Bilişim Teknolojileri,26
82,26
Master of Arts,26
Bachelor of Technology - BTech,26
Lise Mezunu,26
Bilgisayar ve Bilişim Bilimleri Fakültesi,25
Erasmus Student,25
Vocational School of Justice,25
Assoc.Prof.Dr,25
Global Executive MBA,24
3.2,24
Teaching Certificate,24
High School Degree,24
Minor Program,24
4.Sınıf,24
Executive Education,23
Undergraduate Degree,23
Chemistry Technician,23
Computer Engineer,23
Certificate Program,23
2.98,23
2.74,23
2.50,23
undergraduate,23
"3,14",23
 ,22
3.05,22
Postgraduate,22
Primary School,22
Secondary School,22
high school,22
Bachelors Degree,22
Anadolu Lisesi Mezunu,22
2.75,22
İktisat Fakültesi,21
78,21
3.0,21
İletişim Fakültesi Mezunu,21
Mühendislik-Mimarlık Fakültesi,21
Fen,21
MYO,21
Orta Öğretim,21
Computer Programming,21
85/100,20
3.20,20
Önlisans ,20
None,20
1.,20
Bachelor of Arts (BA),20
3.10,19
Bachelor of Technology (B.Tech.),19
Mühendislik Fakültesi ,19
Elektrik-Elektronik Fakültesi,19
76,19
2.80,19
3.15,19
Bilgisayar Mühendisliği Mezunu,19
Teknik Bilimler,19
Meslek Yüksekokulu,18
3.3,18
PhD Candidate,18
öğrenci,18
Bachelor of Commerce (BCom),18
Bachelor of Laws - LLB,18
Anadolu Lisesi,18
Course,18
Teknik Bilimler Meslek Yüksek Okulu,18
undergreduate,18
College Graduate,18
Post. Doc.,18
3.02,18
Instructor,18
Intermediate,18
2.6,18
Science and Maths,18
Master of Laws - LLM,17
University,17
2.8,17
Nanodegree Program,17
3.06,17
Sayısal,17
3.22,17
M.A.,17
Good,17
74,17
Master of Laws (LL.M.),17
3.65,17
İnşaat Fakültesi,17
2.88,17
Sport Academy,16
Master of Education - MEd,16
Engineer,16
International MBA Exchange Program,16
Master of Management,16
Associates Degree,16
Undergraduate ,16
3.55,16
Doctor's Degree,16
Bachelor's Degree ( Scholarship),16
Teknik Bilimler Meslek Yüksekokulu,16
Bachelor of Laws (LL.B.),16
Sertifika,16
Master's,16
Master of Business Administration,16
Doctor of Philosophy - PhD(C),16
MicroMaster-edX,16
3.,16
4.sınıf,16
2.85,16
College,16
Master's Degree (Scholarship),16
Yüksek Okul Mezunu,16
Ph,16
3.16,15
Yüksekokul,15
B.A.,15
2.7,15
Matriculation,15
Erasmus Exchange Student,15
Bachelor of Fine Arts - BFA,15
"3,12",15
3.40,15
Master degree,15
Erasmus Exchange,15
"""BS""",15
Okul Birinciliği,15
Natural Sciences,15
Birincilik,15
Açık Öğretim / Ön Lisans,15
İktisadi İdari Bilimler Fakültesi,15
Postgraduate Degree,15
Master’s Degree Student,15
3.68,15
Bilgisayar ve Bilişim Fakültesi,14
Computer Technician,14
3.54,14
3.75,14
Language Course,14
3.03,14
Kurs,14
3.28,14
2.79,14
3.33,14
Kursiyer,14
3.27,14
Online Course,14
İyi,14
Study Abroad,14
"3,25",14
3.1,14
Fen-Edebiyat Fakültesi,14
2.70,14
"3,20",14
Junior,14
BSC,14
Lisan,14
Elektrik Elektronik Fakültesi,14
Mini MBA,13
Ön Lisans ,13
2.86,13
Master of Science ,13
Special Student,13
"2,5",13
Kocaeli Meslek Yüksek Okulu,13
Lise ,13
LİSE,13
3.24,13
100,13
Vocational School of Technical Sciences,13
3.07,13
3.47,13
3.21,13
Yandal,13
80/100,13
3.Sınıf,13
4.7,13
3.11,13
Master Science,13
"2,80",13
Drop Out,13
Remote-how Academy for Managers,13
Master of Laws (LLM),13
3.23,13
The school of foreign languages,12
İktisadi ve İdari Bilimler Fakültesi,12
Middle School,12
Computer Programmer,12
MSCE,12
İngilizce Hazırlık,12
Yuksek Lisans,12
certificate,12
2.83,12
elektrik,12
"3,21",12
Expert,12
Good Degre,12
Good degre,12
2.90,12
Institute of Social Sciences,12
5.0,12
Faculty of Engineering and Architecture,12
Executive Development Program,12
3.80,12
Master’s Degree (MSc),12
Pedagojik Formasyon,12
Faculty of Economics and Administrative Sciences,12
Medical Fakulty,12
Bilgisayar Teknolojileri,12
Dropped out,12
Life Lesson,12
2.94,12
Yüksek lisans,12
İktisadi İdari Bilimler Enstitü,12
English Language Education,12
ISLETME,12
Mühenedislik Fakültesi,12
Bachelor of Architecture - BArch,12
Açıköğretim Fakültesi,12
B. S.,12
Bachelor´s degree.,12
Intern,12
Exchange Program,12
two-year degree,12
Okul 1.si olarak kazandım(Lise->Üniversite),12
TBMYO Mezunu,12
Pre-College Summer Intensive,12
Lisans Açık Öğretim,12
Pre-College Summer Program,12
Technical High School,11
87,11
2.60,11
Kimya Metalurji Fakültesi,11
Management,11
Yazılım,11
2.63,11
2.69,11
"3,86",11
"3,00",11
Açıköğretim,11
"4,5",11
Tekniker,11
3.08,11
Mühendislik fakültesi,11
Undergraduate Student,11
"3,13",11
MÜHENDİSLİK FAKÜLTESİ,11
Bilgisayar Programcısı,11
Erasmus Program,11
B2,11
3.26,11
FEN FAKÜLTESİ,11
Özel Eğitim,11
"3,62",11
Engineering,11
Anatolian High School,11
3/4,11
İlköğretim,11
2.99,11
2.92,11
Doctor of Medicine - MD,11
İletişim Fakültesi,11
4.63,11
2.87,11
Degree,11
Aptech Certified Computer Professional (ACCP PRO),11
Secondary Education,11
4.5,11
Bachelor's Degree ,11
2.95,11
mezun,11
Bachelor in Computer Science,11
Master of Information Systems Engineering with Thesis,11
Prep School,11
"3,05",11
Msc.,11
B. Sc.,11
Bilgisayar Programcılığı Mezunu,10
"3,50",10
Dropout,10
Advanced,10
3.13,10
2.76,10
3.66,10
Fen Bölümü Mezunu,10
"3,78",10
Bsc.,10
2.40,10
2.97/4.00,10
very good,10
"2,75",10
2.81,10
84,10
Teknisyen,10
3.09,10
Certification,10
Teknik Bilimler MYO,10
BİLGİSAYAR PROGRAMCILIĞI,10
bachelor's,10
Math,10
Management Information Systems,10
88/100,10
"2,7/4",10
2.4,10
Lİsans,10
Bachelor of Science(B.Sc.),10
Bilgisayar Teknolojisi ve Programlama,10
"3,2",10
Doctorate,10
MSc Student,10
2.9,10
Video Production Minor (English),10
Bilgisayar Mühendisliği mezunu,10
bachelor's degree,10
işletme Fakültesi,10
Bilgisayar Bilimleri,10
Mühendislik,10
3.17,10
3.70,9
HSc,9
"3,75",9
14,9
Açık Öğretim Fakültesi,9
Master of science computer science,9
Master of Philosophy - MPhil,9
2.71,9
PhD.,9
3.43,9
Bachelor degre,9
Ph.D,9
Project Program of Robotics,9
4.75,9
Erasmus Programme,9
Statistics and Computer Science,9
Master's Degree in Information Technology for Professionals,9
83,9
3.04,9
9.,9
2.73,9
Eğitim Bilimleri Fakültesi,9
PHd,9
2.96,9
International Relations,9
3.52,9
Teknik Eğitim Fakültesi Mezunu,9
"3,40",9
2.57,9
Licentiate Degree,9
işletme,9
ÖN LİSANS,9
Bachelor Of Science,9
Erasmus Student at Bachelor of Applied Science - BASc,9
3.5/4,9
93,9
mühendislik,9
Bilgisayar Teknolojileri ve Programlama,9
Bachelor of Econometrics,9
Güzel Sanatlar Fakültesi,9
1st Grade,9
Takdir,9
Master Of Science,9
Bachelor of Education (BEd),9
bachelor,9
Doctor of Philosophy - PhD Candidate,9
Bilgisayar Mühendisliği ,9
Executive Education Program,9
Software Developer,9
Bachelor's degree Eramus Student,9
ÖNLİSANS,9
2.42,9
5.00/5.00,8
Lisanas,8
license,8
Ege Meslek Yüksekokulu,8
"Bachelor of Medicine, Bachelor of Surgery - MBBS",8
Univercity,8
Grad,8
Electronics and Communication Engineer,8
3.45,8
Faculty of Science,8
Master of Technology - MTech,8
Keşan Yusuf Çapraz Uygulamalı Bilimler Yüksek Okulu,8
İktisat,8
"3,79 / 4",8
TBMYO,8
3.4,8
Bachelor of Science (B.Sc),8
2.72,8
"2,50",8
7,8
Mühendislik - Mimarlık Fakültesi,8
Specialization,8
"3,46",8
Extension Diploma,8
Sertifika Programı,8
*,8
Normal Lise,8
Etkin Yöneticilik,8
8/10,8
"Bachelor's degree ,Biology",8
3.37,8
Research Doctorate,8
Vocational high school,8
Tezli Yüksek Lisans (Master),8
3.87,8
Master of Computer Engineering,8
3.73,8
"3,1",8
2.89,8
3.75/4.00,8
Post Doc.,8
Vocational High School,8
Electrical and Electronics Engineering,8
Management and Leadership Program,8
Foundation degree,8
3.49,8
100/88,8
Bachelor of Architecture,8
Mühendislik - Teknoloji Fakültesi,8
English Language School,8
71,8
3.44,8
"2,87",8
Masters Degree (6 Months),8
Associate of Arts and Sciences (A.A.S.),8
Kimya Mühendisi,8
Master of Technology (MTech),8
86,8
AEET,8
"3,64",8
Okul Birincisi,8
Bachelor of Science Degree,8
Mühendislik Fakültesi Öğrencisi,8
Erasmus+ Programme,8
"3,24",8
"Double Major, Bachelor of Science - BSc",8
Doctor of Philosophy,8
"Honor degree, High School Diploma",8
Executive Management Certificate,8
Formasyon,8
"GPA: 4.00/4.00 ,Master of Business Administration (M.B.A.)",8
English Preparation School,8
Fen Edb.,8
Bilgisayar Bölümü,8
ön lisans ,8
English for Business Communication,8
"Onur ogrencisi,3.lük,Onur belgesi",8
Ms.Sc.Engineer,8
4.78,8
2.55,8
Language School,8
Kimya-Metalurji Fakültesi,8
2.77,8
3. Sınıf,8
Graduated from Engineering Department,8
Master of Sc. Eng.,8
B,8
Bachelor of Sc. Edu.,8
Pedagogical Formation,8
Lisans Öğrencisi,8
Information Systems,8
Ms,8
89,8
Faculty of Technology,8
Honor Degree,8
Minor degree,8
Mühendislik ve Mimarlık Fakültesi,8
Master of Education (M.Ed.),8
Licence Degree,8
2.97,8
3.25,8
Bozkır Meslek Yüksek Okulu,8
Distance education,8
8,8
Kontrol ve Otomasyon Mühendisi,8
Business Degree,8
Elektronik,8
Associate of Arts - AA,8
ASA - Summer Education Programme,8
Microverse HTML/CSS module,8
"3,90",8
PhD in Economics,8
BACHELOR DEGREE,8
"2,42",8
"2,77",8
Left,7
3.7,7
Pass,7
3.11/4.00,7
Bachelor of Business Administration,7
3.31,7
M. Sc.,7
Matematik,7
82/100,7
Major,7
Bilgisayar Programlama Mezunu,7
4. sınıf,7
Erasmus Exchange Program,7
MASTER,7
Önlisan,7
3.77,7
computer engineer,7
"3,47",7
Mechanical Faculty,7
"3,11",7
Associate of Science (AS),7
Fen bilimleri,7
Junior Student,7
Bachelor of Architecture (B.Arch.),7
Master of Engineering (M. E.),7
Bachelor of Engineering (B. E.),7
3.60,7
3.98,7
65,7
94/100,7
Undergrad,7
67,7
Bachelor of Science - BSc.,7
Global Management Certificate - Summer Session,7
"2,92",7
"2,71",7
Faculty of Technical Education,7
"2,63",7
Faculty of Economics,7
"2,7",7
Teknik Bilimler Fakültesi,7
Üniversite,7
C2,7
Elektronik Teknisyeni,7
"3,54",7
Bachelor of Law - LL-B.,7
School of Foreign Languages,7
79,7
"3,42",7
2.45,7
2.68,7
Teknik Lise,7
Master of Arts - M.A.,7
2.lik,7
3.48,7
4.02,7
Ticari Bilimler Fakültesi,7
"2,66",7
73,7
"2,82",7
Bölüm Birinciliği,7
Master of Architecture - MArch,7
Elektrik Elektronik Mühendisliği,7
2.44,7
Doctor of Philosophy - PhD ,7
2.3,7
Fen Bölümü,7
CCNA,7
2.84,6
T.E.F.,6
Eğitim fakültesi,6
Bachelor of Technology (BTech),6
Faculty Of Engineering,6
2.61,6
bs,6
Web Design and Coding,6
619,6
"3,43",6
3.41,6
Bachelor's of Science,6
Non-Diploma EMBA,6
Staj,6
Electrical and Electronics Engineering ,6
"Master of Science (MSc), 1st Degree of Graduation",6
6 Years Professional training,6
Certification Program,6
"Bachelor of Science (BSc), 2nd Degree of Graduation",6
Bilingual diploma awarded,6
89/100,6
secondary school,6
Master of Science - M.Sc.,6
2.51,6
Prep-School,6
Electrical Engineering,6
Okul Dördüncüsü,6
3.35,6
Bachelor of Business Administration - BBA ,6
Matematik - Fen,6
Preparatory School,6
Bilişim Enstitüsü,6
1st Degree of School Graduation,6
"3,70",6
Doctor of Philosophy - PhD (Candidate),6
2.28,6
Üstün Başarı Belgesi,6
Software Engineering,6
Erasmus Student Exchange Program,6
Enterprise Leadership Program,6
"3,16",6
"3,02",6
"2,95",6
2.91,6
Master’s. 3d Desing ( Solidworks); write up a thesis,6
"3,06",6
Yuksek lisans,6
Exchange,6
4.89,6
MSc. (Dipl.- Ing. Elektrotechnik),6
B1,6
"BSc., Electrical Engineering",6
Bilişim Sistemleri Mühendisi,6
Meslek Lisesi,6
4.96,6
3.8,6
84/100,6
Türkçe Matematik,6
Bachelor's ,6
Orta öğretim,6
CISA,6
Doctor of Medicine (M.D.),6
Onlisans,6
Bachelor Degree ,6
75/100,6
Language Training,6
Elementary School,6
Mühendislik Fakültesi bilgisayar mühendisliği,6
3.83,6
Graduate Degree,6
Certified,6
Fen-Edebiyat Fakültesi Mezunu,6
Master of Business Administration (M. B. A.),6
School of Education,6
3.sınıf,6
Ph. D.,6
Askerî Lise Mezunu,6
"GPA 3,25",6
2.65,6
2. Sınıf,6
NATO Geographic Officer Certificate,6
Army Teacher,6
3rd Grade,6
"Graduate, Front-End Web Development",6
Teaching,6
UEFA B License,6
Vocational College,6
Border Delimitation and Demarcation Management Certificate,6
Industrial Engineering,6
Other,6
bilgisayar teknolojisi ve programlama,6
Anadolu Teknik Lisesi Mezunu Tekniker,6
Bilgisayar Teknikeri,6
Army IS Officer ,6
92,6
Yazılım Mühendisi,6
Lisans Derecesi (2.90/4.00 - 4.00/4.00),6
BSc Engineering ,6
2.44/4.00,6
3.18,6
Yüksek Onur,6
3.6,6
Computer System Engieneering,6
Postgraduate Degree. Msc,6
Undergradute,6
science,6
associate degree,6
"Master's degree, Medical Informatics",6
3.90/4.00,6
Bachelor of Laws (LLB),6
Bilgisayar Programlama,6
Yan Dal,6
Elektronik M.Y.O.,6
MASTER'S DEGREE,6
4.88,6
Master's degree (MS),6
Language Center,6
2.56,6
Yüksel Lisans,6
Turkish and Foreign Languages Research and Application Center (TÖMER),6
4.,6
Master's degree ,6
"5,00",6
Postdoctoral Researcher,6
Çorum Meslek Yüksek Okulu,6
2.48,6
Uzaktan Eğitim Meslek Yüksekokulu,6
"Master Degree, MBA",6
3.32,6
Bilgisayar Proramlama Mezunu,6
Bachelor's degree (Double Major),6
Fizik,6
3.36,6
"3,26",6
Teknoloji Fakültesi Öğrencisi,6
Erasmus exchange programme,6
Language,6
Distance Education Faculty,6
Post graduate,6
63,6
10,6
"7,5",6
"2,48",6
"4,98/5,00",6
5.0/5.0,6
Mühendislik Mimarlık Fakültesi Mezun,6
Yüksek,6
3.19,6
69,6
Economy,6
Informatic Engieneering,6
Lisans Derecesi / Bachelor's degree,6
"2,98/4,00",6
hazırlık,6
"2,65",6
Distinction,5
Upper intermediate,5
3.85,5
62,5
Engineering ,5
"2,5/4",5
İzmir Meslek Yüksek Okulu,5
3.57/4.00,5
Advanced Data Analytics Academy,5
4.3,5
Faculty Of Economics,5
3.39,5
Bachelor Science,5
Economics,5
Science High School,5
3.51,5
Open Education,5
bilgisayar ve bilişim fakültesi,5
Fizik Mühendisi,5
86/100,5
High school diploma,5
"4,51",5
Mühendislik Fakultesi,5
Speciality,5
Erasmus Exchange Programme,5
Master of Computer Engineer,5
Professional,5
BCs,5
Master of Science Degree,5
Track Program,5
graduate,5
Bachelor's Degree (BSc),5
Undergraduate Transfer,5
88.06,5
Sosyal Bilimler Enstitüsü,5
"4,98",5
2.5/4,5
3.26/4,5
okuyor,5
Veritabanı Programcısı,5
3.51/4,5
"2,85",5
Y.Lisans,5
12,5
Yetiştirme Programı,5
Teknik bilimler,5
2.35,5
Master of Executive MBA,5
16,5
Lise Mezuniyet,5
"3,39",5
2.66,5
Ziraat Fakültesi,5
bac,5
"4,75",5
Mühendislik fakültesi mezunu,5
2.2,5
"2,84",5
ÖnLisans Derecesi,5
Mühendislik Fakültesi mezunu,5
Doktora (PhD),5
Language Education,5
Yazılım Uzmanı,5
3.46,5
3.34,5
Bilgisayar mühendisliği,5
Faculty of Education,5
bilgisayar mühendisi,5
Programmer,5
3.95,5
On lisans,5
"2,76 / 4",5
High education,5
Bach,5
"2,67",5
3.39/4,5
upper-intermediate,5
1st,5
3.22/4,5
"3,03",5
Mühendislik ve Doğa Bilimleri Fakültesi,5
2.62,5
3. sınıf,5
English Preparatory,5
High Scholl,5
Master's of Science,5
Master of Technology (M.Tech.),5
Kimya Yüksek Mühendisi,5
4.2,5
Bachelor of Computer Engineering,5
Erasmus ,5
Sertifika programı,5
Master of Science(M.Sc.),5
76/100,5
Three years of informatics completed successfully out of 5 years bachelor degree,5
"3,01",5
3.93/4.00,5
Siyasal Bilgiler Fakültesi,5
Doctor of Science,5
Business Management,5
Information Technologies,5
"Bachelor Degree, transfer student ",5
3.63,5
2.37,5
International Baccalaureate,5
Associate of Arts and Sciences (AAS),5
0,5
"4,65",5
bilgisayar mühendisliği,5
Doctorate Degree,5
B.Eng,5
İşletme Fakültesi ,5
3.83 / 4,5
4.70,5
Fen Edebiyat Fakültesi Mezunu,5
Computer,5
Licance Degree,5
Web Tasarım ve Programlama,5
2.20,5
"2,97",5
9,5
5.00 / 5.00,5
İİBF,5
Distance Education,5
Ph. D,5
3.74,5
Orta,5
Mathematics,5
4.65,5
4.0,5
Master of Education (MEd),5
3.67,5
Elektrik-Elektronik Mühendisi,5
Mimarlık-Mühendislik Fakültesi,5
3.78,5
Fen - Edebiyat Fakültesi,5
İktisadi ve idari bilimler fakültesi,5
Atatürk Eğitim Fakültesi,5
Meslek Yüksek Okulu Mezunu,5
"3,60",5
"2,60",5
3.00/4.00,5
Bachelor of Arts,5
Mühendis,5
Web Design and Programming,5
"3,33",5
Information Technology,5
2.36,5
Advance,5
2.82,5
3.86,5
Bilgisayar Eğitimi,4
Primary Education,4
Bachelor's of Economics(H.B.Econ.),4
Bachelor of Science (Hons.B.Sc.),4
master,4
13,4
good,4
PhD Student,4
Integrated PhD in Economics ,4
3.72,4
Electronics Engineering,4
"Bachelor's degree, Chemisty",4
Anadolu Teknik Lisesi,4
"3,18/4",4
"2,34",4
"Bachelor's degree, Chemical Engineering",4
Lisa,4
2.43,4
Science High School Diploma,4
Fen Bilimleri Fakültesi,4
Yandal (Minor Program),4
Postgraduate Research,4
Doktora (Tamamlanmadı),4
Turkish proficiency Certificate,4
Bilgisayar Teknolojisi ve Programlama Bölümü Mezunu,4
Leave,4
Teknik Bilimler Y.O.,4
"Bachelor of Science (BSc),",4
DOCTORATE DEGREE (PhD),4
Bilgisayar Programcılığı Bölüm İkincisi,4
78/100,4
Online Eğiitim,4
BE,4
4/5,4
3.55/4,4
BACHELOR’s DEGREE (BS),4
Leadership in Engineering Certificate Program,4
Sociology Faculty,4
MASTER’s DEGREE (MS),4
Vocational School of Higher Education Associate Diploma,4
A.S,4
Bachelor of Science ,4
2nd class left,4
Üstün başarı,4
4.12,4
Bachelor of Science - BSc (Hons),4
Bachelor's degree (B.S),4
"Second, Associate Degree",4
rehberlik ve pisikolojik danışmanlık,4
Bilgisayar Programcılığı Bölüm Birinciliği,4
konya,4
Yok,4
Preparatory,4
2.78,4
"Lise (64,92 / 100)",4
Studied Metallurgy and Materials Engineering,4
"Önlisans (3,63/4)",4
Studying Computer Engineering,4
Doctor,4
teknik eğitim fakültesi mezunu,4
95,4
"4,41",4
Team Member,4
GRAD,4
3/ 4,4
Antrenörlük,4
Antrenörlük ve Pedagojik formasyon,4
4.17 / 5,4
Lisans Derecesi ,4
Aktüerya Bilirkişi,4
Phd Student (Coursework Only and Some Research),4
Sayısal Mezunu,4
Talk International Language School,4
M.A.Sc,4
Matematik - Fen Bilimleri (Sayısal) bölümü,4
HSC,4
"Bachelor of Science (BS), Mechanical Engineering",4
Non-Degree Summer Term Exchange,4
"7,7 /10",4
Digital Masters,4
Finance for Non-Finance Professionals,4
Yüksek Lisans (Master Degree),4
"3,7 / 4",4
4.82/5,4
Ön lisans ,4
"88,77/100",4
Бакалавр технических наук,4
Sağlık Bilimleri Enstitüsü,4
Bachelor of Engineering(BE),4
4.18,4
CS,4
Erasmus+ Student Exchange,4
SSC,4
Meslek Yüksekokulu Mezunu,4
Siyasal Bilgiler Fakültesi Mezunu,4
1. Sınıf,4
2.38,4
3.21 / 4.00,4
Yüksek Lisans ,4
Fen Edebiyat Fakültesi - Yüksek Lisans - Tez Safhası ( Devam Etmekte ),4
Fen Lisesi,4
lisansn,4
Bilgisayar ve Kontrol Öğr. İngilizce,4
2.25,4
Bilgisayar Teknolojileri ve programlama,4
ögrenci,4
Electrics and Electronics Engineer,4
2019 Mezunu 1.si ve Yüksek Şeref Öğrencisi,4
95/100,4
3.07/4,4
2.58,4
Executive Master of Business Administration,4
Micro MBA,4
FACULTY,4
"4,00",4
işletme fakültesi,4
2.60 /4.00,4
Mimarlık ve Mühendislik Fakültesi,4
meslek yüksek okulu,4
ILA Linux I - II,4
UnderGraduate,4
.,4
High School Summer Program Certificate,4
"PAZARLAMA (TÜRKÇE, TEZSİZ, UZAKTAN ÖĞRETİM)",4
"Bachelor's degree, Minor",4
"Bachelor's degree, Major",4
Upper Intermediate,4
"3,36/4",4
mühendislik Fakültesi,4
3.77/4.00,4
Elektrik Mühendisi,4
High school's degree,4
Cisco Certified Network Associate,4
Doctor of Philosophy (PhD) (Candidate),4
Master of Science MSc,4
3.2/4,4
Abandoned,4
Asistan,4
asil listeden,4
İ.İ.B.F.,4
Master of Library & Information Science - MLIS,4
Management (DDP),4
4.85 / 5.00,4
Erasmus Student Exchange Programme,4
Honor Student,4
"Bachelor of Applied Science (B.A.Sc.), Physics Engineering",4
3.80/4.00,4
4.72/5.00,4
MSEE,4
Natural and Applied Science,4
MSEE (not completed),4
" MBA, MIS",4
Bölüm ikincisi,4
Computer Bs Acc. ,4
"2,62",4
Big Data and Business Analytics Expertise,4
Fen Matematik,4
"Master of Science (MSc), Computer Engineering",4
University (Master's Degree),4
Chemical engineering,4
Academic Safety Engineer,4
2.33/4,4
Certificate Programme,4
Lisans Derecesi  ,4
Lise ve Ortaokul (Fr/En),4
"Double Major, Bachelor of Science (B.S.)",4
ERASMUS,4
Bachelor Degree ERASMUS,4
"Valedictorian, Best Student",4
Future Founders,4
Cambridge First Certificate,4
Three Dimensional CAD Level2,4
Bachelor's Degree - Faculty of Science and Letters,4
77,4
Teknik Lise Mezunu,4
Honored 3th,4
Erasmus Scholarship,4
"Honored 3th, Bachelor's degree",4
Master of Science (MSc.),4
Doctor of Philosophy - PhD cand.,4
Yüksek Lisans (Master) Özel Öğrenci,4
"3,14/4",4
Bilgi Teknolojileri,4
Master Program,4
"2,63/4,00",4
Ortaöğrenim,4
Endüstri Mühendisi,4
İşletme Mezunu,4
Graduation degree: 2nd place,4
Executive Development Unit,4
bilgisayar ve öğretim teknolojileri öğretmenliği,4
3.12,4
Master in Computer Science,4
Turkish ,4
İlköğretim Okulu Mezunu,4
International Education,4
Master of Business,4
3.1/4,4
Leadership School,4
3.9,4
İnönü University Malatya City Faculty of Education - Pedagogical Formation Certificate,4
MSc  on Telecommunications Engineering,4
Tierarzt,4
Mathematical Word,4
Startup School,4
Cambridge Advanced,4
English Preparatory School,4
English at Work,4
Black Belt Six Sigma,4
2.sınıf,4
Uçak ve Uzay Bilimleri Fakültesi,4
Veteriner Hekim,4
Full Stack Web Development Certificate,4
7.,4
dropped out,4
