user_id,company_count,working_time
383,2,0.5
384,2,1.5
385,1,1
386,4,0.25
388,4,1
390,1,1
391,1,1
393,2,2.5
394,2,0.5
395,3,1.333333333
397,1,1
398,2,3.5
399,1,1
404,3,1.666666667
405,1,1
407,1,1
408,1,1
409,5,0.6
410,6,0.833333333
411,3,0.333333333
413,2,0.5
414,2,1.5
416,3,1
418,11,1.181818182
419,1,1
420,2,2.5
421,4,1
422,5,1.4
423,1,1
424,1,1
425,4,1.25
426,2,0.5
429,4,1.25
430,2,1
431,3,1.333333333
432,2,1
433,5,0.6
434,1,3
435,1,1
436,3,1
437,2,4
438,2,1
439,4,1.5
440,2,1
441,1,8
442,2,1.5
443,2,1
444,3,0.666666667
445,1,1
446,3,2.333333333
447,3,0.333333333
448,2,4
449,5,1.4
450,3,0.666666667
451,2,1
452,3,0.333333333
453,1,1
454,5,0.2
455,6,0.833333333
456,1,2
457,1,1
458,1,2
459,1,1
460,2,0.5
461,5,1.2
462,6,0.833333333
463,11,1.181818182
464,3,2.333333333
465,2,3.5
466,3,1.333333333
467,5,3.6
468,2,1
469,5,1.4
470,2,0.5
471,4,1
472,1,1
474,1,1
475,2,2.5
476,5,1.2
477,2,0.5
478,7,1.714285714
479,4,1.75
480,5,3.6
481,2,1.5
482,5,3.6
483,5,0.2
484,7,1.714285714
485,1,1
486,2,4.5
487,5,1.2
489,2,2
490,3,0.666666667
491,1,1
492,6,0.833333333
495,2,0.5
497,3,0.333333333
499,8,0.625
501,3,2
502,3,0.666666667
503,3,1
504,1,1
505,3,0.333333333
506,3,1.333333333
507,2,1
508,2,0.5
509,2,0.5
510,3,2
511,1,1
512,4,1.5
513,1,1
514,2,0.5
515,3,1
517,1,1
518,2,0.5
520,1,1
521,4,1
522,6,1.5
523,2,2
524,4,1
525,4,1
526,2,0.5
527,1,1
528,2,0.5
529,2,0.5
530,6,1.5
531,2,0.5
532,5,1
533,2,0.5
534,2,1.5
535,2,2
536,1,1
537,2,1.5
538,1,1
539,3,0.333333333
540,6,0.5
541,2,0.5
542,5,1.2
543,5,0.8
544,1,1
545,2,2
546,4,0.75
547,2,1
550,4,1
552,5,1
553,2,0.5
554,1,1
555,2,0.5
556,1,1
557,3,2.333333333
558,7,1.428571429
559,3,0.333333333
560,1,1
561,4,0.25
562,2,1
563,2,0.5
564,3,0.666666667
566,1,1
567,2,0.5
569,3,1
570,1,1
571,5,1
575,4,1
577,3,0.666666667
578,1,1
579,1,1
580,3,1.666666667
581,2,0.5
582,1,1
583,1,1
584,2,0.5
585,2,0.5
587,5,0.8
588,1,1
589,3,0.666666667
590,2,0.5
591,1,1
592,1,1
593,3,0.333333333
594,1,1
597,3,0.666666667
600,4,0.25
601,2,0.5
602,3,0.333333333
603,1,1
604,1,1
605,2,0.5
606,1,1
607,3,1
608,1,1
609,1,1
610,3,0.666666667
613,1,1
614,2,0.5
615,2,0.5
616,1,1
617,1,1
618,2,0.5
619,1,1
620,4,1.5
621,2,2
622,4,1.5
623,2,0.5
624,6,1.5
625,2,0.5
627,1,1
628,2,1
629,2,0.5
630,5,0.2
631,1,1
632,6,1.333333333
633,1,1
635,2,1
637,1,1
638,4,1.25
640,1,1
641,2,0.5
645,2,1
646,2,1
647,3,0.666666667
648,2,1
649,1,1
650,1,1
652,6,0.833333333
654,1,1
655,2,1
656,1,1
657,11,1.181818182
658,4,0.25
659,4,0.5
660,2,1
661,2,1
662,3,1.666666667
663,3,1
664,2,4
665,1,1
666,2,1.5
667,3,0.666666667
668,2,0.5
669,1,1
670,2,0.5
671,2,4
672,2,3
673,6,1
674,3,1
675,5,0.2
676,5,1.6
677,3,1.666666667
678,3,1
679,3,0.666666667
680,6,0.833333333
681,1,1
682,4,0.25
683,7,1.714285714
684,2,1
685,1,1
687,2,3.5
688,2,2
689,5,3.6
690,3,1.666666667
691,1,1
692,11,1.181818182
693,5,3.6
694,5,3.6
695,1,1
696,11,1.181818182
700,2,13.5
701,1,1
702,3,1
703,2,1.5
704,3,1.666666667
705,2,1
706,2,2.5
709,1,1
710,1,1
711,1,1
712,3,0.666666667
713,3,0.666666667
714,2,0.5
715,3,1
716,2,0.5
717,2,0.5
718,2,0.5
719,1,1
720,1,1
721,3,1.666666667
722,2,0.5
723,3,1
725,3,1
726,1,1
727,1,1
728,1,1
729,1,1
730,1,1
731,1,1
732,3,0.666666667
734,6,1
735,2,0.5
738,2,2
739,5,2
741,8,0.625
742,2,0.5
743,6,1.166666667
744,4,0.75
745,1,1
746,4,0.75
747,3,1.666666667
748,3,2.333333333
749,3,2.333333333
750,6,1.333333333
751,3,1
752,3,0.333333333
753,1,1
754,1,1
755,1,1
756,2,0.5
758,3,1
760,3,0.333333333
761,2,2
762,2,1.5
763,3,1
764,2,0.5
766,2,1
767,4,1
768,4,1
769,2,0.5
770,2,0.5
772,1,1
773,1,3
775,1,1
776,1,1
779,4,0.75
782,2,9
783,5,0.6
784,1,1
785,1,1
789,1,1
791,7,1.714285714
792,2,1
793,2,13.5
794,2,1
796,4,1.5
797,2,2
798,8,1.875
799,2,1.5
800,3,2
801,4,1
802,4,2.25
803,1,3
804,2,0.5
805,2,1
806,1,1
807,4,1.5
808,6,1.333333333
809,2,0.5
810,1,1
811,3,2.333333333
812,4,1.5
813,4,0.75
814,1,1
815,2,0.5
816,1,1
817,5,0.6
818,1,1
819,2,1.5
821,11,1.181818182
822,1,3
823,3,1
824,4,2.5
825,2,1
826,2,4.5
827,3,0.666666667
828,1,1
829,2,9
830,11,1.181818182
832,4,1.75
833,7,1.714285714
835,3,1.666666667
836,1,1
837,6,0.833333333
838,3,1
839,2,1
840,8,0.625
841,1,1
842,1,2
843,3,0.333333333
844,2,0.5
846,1,1
847,2,0.5
848,3,0.333333333
849,5,1
850,3,2
851,3,0.333333333
853,2,1
854,3,0.666666667
855,3,1
856,1,1
858,5,0.6
859,2,1
860,3,1.333333333
861,2,0.5
862,2,0.5
864,1,1
866,3,0.666666667
867,1,1
869,3,3.333333333
870,2,1.5
871,1,1
872,1,1
873,4,1.25
874,1,1
875,2,0.5
876,3,0.666666667
878,2,0.5
879,1,1
881,1,1
882,3,0.666666667
883,5,1.6
884,2,0.5
885,3,1.333333333
886,1,1
887,3,0.666666667
888,2,0.5
889,2,1.5
890,2,0.5
891,6,0.833333333
892,2,1
893,2,0.5
895,4,0.5
896,2,1.5
897,2,1
900,3,1.333333333
901,1,1
902,2,1.5
903,1,1
904,4,1.75
905,1,1
906,4,1.25
907,2,0.5
908,2,1.5
909,3,0.666666667
910,2,1.5
911,5,1.2
912,5,0.8
913,6,0.833333333
914,4,1.25
915,2,1
920,1,1
921,6,0.833333333
922,1,1
924,4,1
925,2,4
926,3,0.666666667
928,2,2
930,3,0.333333333
931,2,4
932,2,0.5
933,2,0.5
934,1,1
935,1,1
936,2,3.5
937,3,0.333333333
938,2,3.5
939,2,1.5
940,2,0.5
941,8,0.625
942,6,1
943,2,0.5
944,1,1
945,2,0.5
946,1,1
947,2,0.5
949,2,0.5
950,1,1
951,3,0.333333333
952,2,0.5
953,1,1
954,1,1
955,2,0.5
956,3,0.666666667
957,1,1
958,6,0.833333333
959,2,1
960,1,1
961,2,1
962,2,0.5
964,2,0.5
965,2,3
967,1,1
968,3,1
969,1,1
971,1,8
972,2,0.5
973,2,1
974,3,0.333333333
975,1,1
976,2,2
977,4,0.75
978,2,0.5
979,4,1
980,1,1
981,9,1.111111111
982,2,0.5
983,1,1
984,4,0.75
985,1,5
986,1,1
988,1,1
989,3,1
990,4,1.5
991,3,0.666666667
992,2,0.5
993,3,1
994,2,0.5
995,1,1
996,3,0.333333333
997,2,2
998,4,1
999,4,0.75
1000,1,2
1001,1,1
1002,3,0.333333333
1003,1,1
1005,3,0.333333333
1006,3,0.333333333
1007,1,1
1008,2,0.5
1009,5,0.4
1011,4,1.75
1012,4,1.75
1013,1,1
1014,3,1
1015,1,1
1016,2,2
1019,2,1.5
1020,2,0.5
1021,1,1
1022,3,1.333333333
1023,4,0.25
1024,2,0.5
1025,4,1
1026,4,1
1028,2,1
1029,5,0.6
1030,1,1
1032,2,0.5
1035,4,0.5
1038,2,0.5
1039,2,0.5
1040,1,1
1041,1,1
1043,1,1
1044,1,1
1045,1,1
1046,3,0.333333333
1047,3,0.666666667
1048,1,1
1049,2,0.5
1050,3,1.333333333
1051,3,0.333333333
1052,1,1
1053,3,2
1054,1,1
1055,2,0.5
1056,2,2
1057,2,1
1058,4,0.5
1059,3,2
1060,1,1
1061,2,0.5
1062,2,0.5
1063,1,1
1065,2,0.5
1067,2,1
1068,2,0.5
1069,1,1
1071,1,1
1072,1,1
1073,5,1
1074,2,0.5
1075,4,0.25
1076,2,0.5
1077,3,0.333333333
1078,2,3.5
1079,3,0.666666667
1080,3,1
1082,4,1.5
1084,2,0.5
1085,2,1.5
1086,3,1
1087,1,1
1088,1,1
1089,1,1
1090,3,0.666666667
1092,2,0.5
1093,3,1.333333333
1095,2,1
1096,2,2
1097,2,0.5
1098,1,1
1100,1,1
1102,4,0.75
1104,1,1
1105,2,0.5
1106,3,3.333333333
1107,1,1
1108,1,1
1109,2,2.5
1110,1,1
1111,1,3
1112,6,0.833333333
1114,3,0.666666667
1115,4,1
1116,1,1
1117,1,1
1118,1,1
1119,2,1.5
1120,4,1.75
1122,1,1
1124,2,1
1125,2,1
1126,3,0.333333333
1127,4,2.25
1128,3,3
1129,3,1.333333333
1130,2,0.5
1131,2,0.5
1132,4,0.5
1133,2,0.5
1134,2,0.5
1135,3,1.666666667
1136,7,0.428571429
1137,3,1.333333333
1138,4,1
1139,4,2
1140,5,2.2
1141,2,1
1142,4,1.25
1143,3,2
1144,1,1
1146,6,1
1147,2,3
1148,2,4.5
1149,3,0.666666667
1150,6,1.166666667
1151,1,1
1152,4,1.75
1153,2,0.5
1154,4,1.5
1155,2,7
1156,5,0.6
1157,2,1.5
1158,4,2.25
1159,2,1
1160,5,1.4
1161,1,1
1162,2,1
1164,3,1.666666667
1165,3,3.333333333
1166,2,9
1167,2,2.5
1168,2,2.5
1169,3,1.333333333
1170,2,1
1171,3,0.333333333
1172,3,1.666666667
1173,2,3.5
1174,1,1
1175,1,1
1176,2,1
1177,4,0.25
1178,1,3
1179,6,0.833333333
1180,3,1
1181,1,1
1182,1,1
1183,3,1
1184,1,1
1186,1,12
1187,3,3.333333333
1188,3,3
1191,4,0.75
1192,4,1.25
1193,2,0.5
1194,3,1
1195,1,1
1196,1,1
1197,2,1.5
1199,2,3
1200,2,0.5
1201,3,0.666666667
1202,1,1
1203,2,2
1204,2,1
1205,3,3
1206,1,1
1207,1,4
1208,2,0.5
1209,1,1
1210,2,0.5
1211,3,1
1212,3,1
1213,5,1
1215,2,1
1216,2,0.5
1217,2,0.5
1218,3,0.333333333
1220,1,1
1221,2,0.5
1222,4,0.5
1223,1,1
1224,3,0.333333333
1225,2,1.5
1226,4,1.25
1227,2,0.5
1228,2,2.5
1229,4,1.5
1230,5,1
1231,2,1
1232,1,4
1233,2,0.5
1234,5,1.4
1235,3,0.333333333
1236,2,3.5
1237,2,1
1238,5,1.4
1239,2,2.5
1240,3,3
1241,2,1
1242,4,1
1243,2,13.5
1245,1,1
1246,3,1.333333333
1247,3,2
1248,3,1
1249,2,0.5
1250,3,2.333333333
1251,1,1
1252,2,1
1253,1,1
1255,5,1.2
1256,1,1
1257,3,3.666666667
1258,3,0.666666667
1259,5,0.4
1260,3,1
1261,2,0.5
1263,2,2
1264,2,9
1266,5,0.8
1267,4,1
1268,5,0.8
1269,3,4.333333333
1270,2,0.5
1271,3,0.333333333
1272,1,1
1274,2,0.5
1275,2,1
1276,1,1
1278,5,0.8
1279,4,1
1280,4,1.25
1281,3,0.666666667
1283,1,1
1284,4,1
1285,1,1
1286,2,1
1287,3,1.666666667
1288,5,1.4
1289,5,1.4
1291,3,1.333333333
1292,2,1
1294,4,1
1295,1,1
1296,4,1.25
1297,5,0.8
1298,5,1.8
1299,2,0.5
1300,3,1
1301,4,1
1302,3,0.333333333
1303,3,0.333333333
1304,3,0.666666667
1305,3,0.333333333
1306,1,1
1307,2,0.5
1308,1,1
1309,1,1
1310,6,0.666666667
1311,2,1.5
1312,1,1
1313,4,1.5
1315,2,1.5
1316,3,0.666666667
1317,4,0.75
1319,1,1
1320,3,2
1321,2,0.5
1322,3,0.666666667
1323,1,1
1324,1,1
1325,4,0.5
1326,1,1
1328,3,4
1330,1,1
1331,2,0.5
1332,2,0.5
1333,1,1
1334,1,1
1335,3,0.333333333
1336,1,1
1337,3,3
1338,1,1
1339,3,2
1340,2,0.5
1341,3,1.333333333
1343,1,1
1344,3,1.666666667
1345,1,3
1346,1,2
1347,4,2
1348,1,1
1350,1,1
1351,2,3.5
1352,2,1
1353,1,1
1354,3,0.666666667
1355,1,1
1356,2,13.5
1357,7,1.714285714
1358,2,1
1360,3,1.666666667
1362,4,1
1363,1,1
1364,8,1.25
1365,3,1
1367,6,0.833333333
1368,3,0.666666667
1369,3,3
1370,2,0.5
1371,3,3.666666667
1372,2,3.5
1373,2,1
1374,4,2.25
1375,2,2.5
1377,4,2.25
1379,2,0.5
1380,4,1.25
1381,3,1.333333333
1382,2,2
1383,4,2.25
1384,3,0.666666667
1385,4,1
1386,3,0.333333333
1387,2,1
1388,1,2
1389,7,2.714285714
1390,5,1.8
1391,5,1.8
1392,3,1
1393,3,1.666666667
1394,5,0.2
1395,2,1
1396,11,1.181818182
1398,2,1
1399,2,1
1400,1,1
1401,3,2
1403,2,0.5
1404,1,1
1405,1,1
1406,2,9
1407,3,0.666666667
1408,11,1.181818182
1409,2,1
1410,2,2
1411,11,1.181818182
1412,5,0.2
1413,3,1.666666667
1415,5,1
1416,2,0.5
1418,3,3
1419,3,1.666666667
1420,3,1.666666667
1421,8,0.875
1422,3,1.666666667
1423,8,0.875
1424,3,3
1425,3,1.666666667
1426,5,1
1428,3,1.333333333
1430,3,2
1431,2,1
1432,2,0.5
1435,1,1
1436,2,0.5
1437,2,0.5
1438,3,1
1439,1,1
1440,1,1
1441,1,1
1443,2,2
1444,2,1
1445,6,0.333333333
1446,2,0.5
1451,1,1
1453,4,1.25
1455,2,2
1456,4,1.25
1457,2,0.5
1458,3,0.666666667
1459,2,1
1460,3,1
1462,6,1
1463,2,0.5
1465,3,1
1468,1,1
1470,1,1
1471,3,1.333333333
1473,1,1
1475,1,1
1476,2,3
1477,3,1.666666667
1478,2,0.5
1479,1,1
1481,1,1
1482,2,1.5
1483,4,1.25
1484,1,1
1485,4,1.5
1486,3,1
1488,4,0.75
1489,3,1
1491,3,3
1492,1,1
1494,2,0.5
1495,1,1
1496,5,1
1498,4,1.25
1499,2,0.5
1500,3,0.333333333
1501,1,1
1502,4,1
1503,4,0.75
1504,8,1.125
1505,8,0.625
1506,5,2
1507,5,1.2
1508,1,1
1509,4,3.25
1510,6,1
1511,5,1.8
1512,6,2.666666667
1513,4,1.5
1514,3,1
1515,2,1
1516,6,0.666666667
1517,1,1
1518,2,4
1519,4,0.75
1520,2,2
1521,3,1
1522,3,1
1523,6,0.833333333
1524,5,2.6
1525,3,2
1526,3,2.333333333
1527,1,1
1528,3,0.666666667
1529,1,1
1530,3,2
1532,3,0.333333333
1534,7,1.571428571
1535,5,1.8
1537,5,2.6
1539,4,0.75
1540,1,1
1542,3,0.666666667
1543,5,2.6
1544,8,1.125
1547,5,2.6
1548,3,0.666666667
1549,3,1
1551,3,0.333333333
1552,3,3
1553,5,2.6
1554,3,1.333333333
1555,4,0.5
1556,4,0.75
1557,4,0.75
1559,5,2
1560,4,0.75
1561,6,0.833333333
1562,8,1.125
1563,8,0.625
1564,6,2.666666667
1565,5,1.2
1567,3,2.333333333
1568,4,1
1569,3,0.666666667
1570,3,2
1571,3,0.666666667
1572,5,1.4
1573,2,0.5
1576,2,3.5
1580,1,1
1583,1,1
1586,3,0.333333333
1587,1,1
1588,1,1
1589,3,2.333333333
1590,3,0.333333333
1591,1,1
1592,5,1.4
1593,4,2.25
1594,4,0.5
1595,1,1
1596,4,0.5
1598,1,3
1599,1,1
1603,2,2
1604,2,0.5
1605,2,0.5
1608,3,0.666666667
1609,1,1
1611,2,0.5
1612,3,1
1613,2,1
1614,8,0.625
1615,1,1
1616,2,1.5
1618,1,1
1619,4,1.25
1620,2,0.5
1621,3,1.666666667
1622,1,1
1624,2,2.5
1625,1,1
1627,3,0.333333333
1628,1,1
1629,2,1
1630,1,1
1631,3,1
1632,1,1
1634,3,0.666666667
1635,1,1
1636,1,1
1637,2,1.5
1642,1,3
1644,4,1.5
1645,2,0.5
1646,1,1
1648,1,1
1649,3,1.333333333
1650,3,0.333333333
1652,1,1
1653,1,1
1654,1,1
1655,3,0.333333333
1656,1,1
1657,2,0.5
1658,1,1
1659,1,1
1660,4,1.75
1662,2,1.5
1663,2,1.5
1664,2,0.5
1666,2,0.5
1667,1,1
1668,1,1
1669,3,0.666666667
1670,3,1.333333333
1671,2,2
1672,3,0.666666667
1674,5,2.2
1676,6,1.166666667
1677,1,1
1679,3,0.333333333
1680,2,1
1681,3,0.666666667
1682,1,1
1683,3,2
1685,1,1
1686,3,0.333333333
1687,3,1
1688,2,2
1689,1,1
1690,3,0.666666667
1691,1,3
1692,3,0.333333333
1694,1,1
1696,3,1
1697,1,1
1698,1,1
1700,3,0.666666667
1701,1,1
1702,2,0.5
1703,3,3.333333333
1704,3,1
1705,1,1
1706,1,1
1707,1,1
1708,1,1
1709,5,1.4
1711,1,1
1712,1,1
1713,2,0.5
1715,1,1
1716,2,0.5
1717,1,6
1719,1,1
1720,1,1
1721,4,1.5
1723,4,0.5
1724,1,1
1725,5,0.6
1726,1,1
1727,4,2.75
1728,2,1
1729,2,2.5
1730,2,0.5
1731,1,3
1732,1,1
1734,1,1
1735,1,1
1736,3,1.333333333
1737,1,1
1740,3,1.666666667
1741,4,1
1742,4,1
1743,2,2.5
1744,1,1
1745,2,2
1746,1,1
1747,1,1
1748,1,1
1749,4,3.5
1750,2,1
1751,1,1
1752,3,2
1753,2,3
1754,1,1
1756,1,1
1757,1,1
1760,1,1
1763,1,1
1764,1,1
1767,6,1.333333333
1768,3,0.333333333
1769,3,1
1770,3,0.666666667
1771,1,1
1772,5,1.4
1773,2,2
1774,5,1.2
1775,3,1.666666667
1776,6,0.833333333
1778,7,1.857142857
1779,3,1.333333333
1780,5,1.8
1781,4,1.75
1782,1,5
1783,4,2.5
1784,3,1.666666667
1785,3,2
1786,2,3.5
1787,4,1.5
1788,4,3.25
1789,3,1.333333333
1790,2,0.5
1791,1,1
1792,5,2
1793,4,2.5
1794,6,0.833333333
1795,4,0.75
1796,1,1
1797,4,1.25
1798,3,1
1799,2,1
1800,1,1
1801,5,1.6
1802,6,1.333333333
1803,4,0.75
1804,3,2.666666667
1805,3,1.666666667
1806,2,3.5
1808,4,1.25
1809,1,1
1810,3,0.666666667
1811,1,1
1813,4,2
1815,2,0.5
1816,3,1
1817,5,2.4
1818,3,0.666666667
1819,4,2.5
1820,1,1
1821,2,0.5
1822,1,1
1824,1,1
1825,3,2
1826,6,1.333333333
1827,3,0.333333333
1828,3,0.666666667
1829,3,1
1830,3,1
1831,3,0.333333333
1832,4,3.25
1833,2,2
1834,5,2.4
1835,1,1
1836,3,1
1837,1,1
1839,1,1
1840,4,1.75
1842,3,0.666666667
1843,1,1
1844,1,1
1845,3,1
1846,3,0.666666667
1847,1,1
1848,1,1
1849,6,0.833333333
1850,8,0.625
1851,3,0.666666667
1853,3,0.333333333
1854,4,0.5
1855,3,0.333333333
1856,5,1.2
1857,3,0.333333333
1858,1,1
1860,4,0.25
1861,4,0.75
1862,4,1
1863,7,0.714285714
1865,3,0.666666667
1866,1,1
1868,1,1
1870,6,1.666666667
1871,2,3
1872,2,0.5
1873,6,1
1874,2,1
1875,3,0.666666667
1877,1,1
1879,2,0.5
1880,3,4
1881,4,1
1882,1,1
1883,2,0.5
1884,2,1
1885,4,0.75
1887,2,0.5
1888,1,1
1889,2,0.5
1890,2,1
1891,1,1
1892,3,1
1894,1,1
1895,1,14
1896,2,0.5
1897,3,1.333333333
1898,1,1
1900,2,1
1901,4,0.5
1902,1,1
1903,5,2
1904,3,1.666666667
1905,2,1
1906,1,1
1907,2,1
1908,3,1.333333333
1909,3,0.333333333
1910,2,2.5
1911,3,1.333333333
1912,2,1
1913,1,1
1914,1,1
1915,1,1
1916,5,1
1917,1,1
1918,1,1
1919,1,1
1920,1,1
1921,3,2
1922,4,1.25
1924,3,1.333333333
1925,2,1.5
1926,3,0.666666667
1927,2,1
1928,4,0.5
1929,1,1
1930,5,0.8
1932,4,1.25
1933,2,0.5
1934,2,1.5
1936,1,1
1937,3,4
1938,2,3.5
1940,1,1
1941,5,1
1942,3,1.333333333
1944,1,1
1946,2,0.5
1947,3,0.666666667
1948,3,1.333333333
1949,1,1
1950,1,1
1951,1,1
1952,1,1
1953,1,1
1954,3,2
1955,1,1
1957,2,3
1958,3,2
1960,4,2.25
1961,2,0.5
1962,3,2.666666667
1963,4,1.5
1964,5,1.6
1965,1,1
1966,1,1
1967,1,1
1969,1,1
1970,2,0.5
1971,1,1
1972,1,1
1973,3,0.333333333
1974,2,0.5
1975,1,1
1976,3,1
1977,3,2.333333333
1978,2,1
1979,1,1
1980,4,1.75
1982,3,1.333333333
1983,3,1.666666667
1984,3,2
1986,3,1.666666667
1988,2,0.5
1989,2,0.5
1991,2,0.5
1992,1,1
1993,1,1
1994,1,1
1995,4,0.75
1996,2,2
1997,3,1.666666667
1998,1,1
1999,1,1
2001,3,3.333333333
2002,4,0.75
2003,2,0.5
2005,2,0.5
2006,6,1.666666667
2007,1,1
2008,1,1
2009,1,1
2010,2,0.5
2011,1,1
2012,3,1
2013,1,1
2014,1,1
2015,6,0.666666667
2017,1,1
2018,3,1
2019,1,1
2020,1,1
2021,1,1
2022,3,0.333333333
2023,4,1.75
2024,1,1
2026,3,1.333333333
2028,2,1.5
2029,1,1
2031,6,2
2032,2,4
2033,6,1
2034,4,0.75
2035,3,2
2036,1,1
2039,1,3
2040,3,1.666666667
2041,2,4
2042,4,2.25
2043,2,4.5
2044,3,3.666666667
2045,4,1.5
2046,4,0.5
2047,4,0.75
2048,1,3
2049,3,2.333333333
2050,2,2.5
2051,3,1.333333333
2052,3,1.666666667
2053,1,1
2054,4,1.25
2055,2,0.5
2056,3,2.333333333
2057,2,3.5
2058,7,1
2059,4,1
2060,4,1.75
2061,6,0.666666667
2062,1,3
2063,2,2.5
2064,4,1.25
2065,4,1.75
2066,2,0.5
2067,1,1
2068,3,1.333333333
2069,3,0.666666667
2070,6,1.166666667
2071,5,1.4
2072,3,1.666666667
2073,8,0.875
2074,4,1
2075,2,2.5
2076,2,1
2077,2,2.5
2078,2,3
2079,4,2
2080,1,1
2081,4,1.5
2082,2,2
2083,3,2.333333333
2084,8,1.375
2085,4,2
2086,2,0.5
2087,2,0.5
2088,2,0.5
2089,7,1.142857143
2090,1,1
2091,3,1.333333333
2092,3,1.666666667
2093,2,0.5
2094,2,0.5
2095,4,2.75
2096,2,0.5
2097,3,2.333333333
2098,1,1
2099,1,3
2100,1,1
2101,10,0.7
2102,4,1.75
2103,9,1
2104,4,4
2105,6,1
2106,6,1.5
2107,1,8
2108,1,1
2109,9,0.444444444
2111,2,4
2112,3,4
2113,2,0.5
2114,4,0.75
2115,2,1
2116,4,1
2118,5,1
2120,3,2.333333333
2121,1,6
2122,3,2.333333333
2123,1,1
2124,2,2
2125,4,1
2126,1,4
2128,4,3.5
2129,4,4
2130,2,6
2131,1,1
2132,4,0.75
2133,4,1.75
2134,1,8
2135,1,14
2136,1,14
2138,9,0.444444444
2139,6,2
2140,4,0.75
2141,8,0.875
2142,1,1
2143,4,4
2144,4,1
2145,3,2.333333333
2146,3,2
2147,5,2
2149,1,1
2152,1,1
2153,1,1
2154,2,2
2155,3,0.666666667
2156,2,0.5
2157,3,1.666666667
2158,4,1.5
2159,4,1
2160,3,0.666666667
2161,1,1
2162,2,1
